"R","S1","S2","S3","NODE1","TYPE1","scroll1","NODE2","id","TYPE2","TEXT2","fragment2","glex2","lex_utf8_etcbc","g_lex_etcbc","gn2","lex_etcbc2","lex_etcbc","line2","md2","morpho2","nu2","ps2","sp2","st2","vs2","vt2","after2","g_nme_etcbc","g_prs_etcbc","g_vbe_etcbc","g_pfm_etcbc","g_vbs_etcbc","g_cons","uvf_etcbc","morph_etcbc","note_etcbc","chapter","verse","vid"
"1","1Qisaa","1","1","1606613","scroll","1Qisaa","1894861","0","word","חזון ",,"חָזֹון",,,"m","XZWN/",,,,"ncmsc","s",,"subs","c",,," ",,,,,,,,,,"1","1","23001001"
"2","1Qisaa","1","1","1606613","scroll","1Qisaa","1894862","1","word","ישעיהו ",,"יְשַׁעְיָהוּ",,,,"JC<JHW/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"3","1Qisaa","1","1","1606613","scroll","1Qisaa","1894863","2","word","בן ",,"בֵּן",,,"m","BN/",,,,"ncmsc","s",,"subs","c",,," ",,,,,,,,,,"1","1","23001001"
"4","1Qisaa","1","1","1606613","scroll","1Qisaa","1894864","3","word","אמוץ ",,"אָמֹוץ",,,,">MWY/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"5","1Qisaa","1","1","1606613","scroll","1Qisaa","1894865","4","word","אשר ",,"אֲשֶׁר",,,,">CR",,,,"Pr",,,"ptcl",,,," ",,,,,,,,,,"1","1","23001001"
"6","1Qisaa","1","1","1606613","scroll","1Qisaa","1894866","5","word","חזה ",,"חזה",,,"m","XZH[",,,,"vqp3ms","s","3","verb",,"qal","perf"," ",,,,,,,,,,"1","1","23001001"
"7","1Qisaa","1","1","1606613","scroll","1Qisaa","1894867","6","word","על ",,"עַל",,,,"<L",,,,"Pp",,,"ptcl",,,," ",,,,,,,,,,"1","1","23001001"
"8","1Qisaa","1","1","1606613","scroll","1Qisaa","1894868","7","word","יהודה ",,"יְהוּדָה",,,,"JHWDH/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"9","1Qisaa","1","1","1606613","scroll","1Qisaa","1894869","8","word","ו",,"וְ",,,,"W",,,,"Pc",,,"ptcl",,,,,,,,,,,,,,"1","1","23001001"
"10","1Qisaa","1","1","1606613","scroll","1Qisaa","1894870","8","word","ירושלם ",,"יְרוּשָׁלִַם",,,,"JRWCLM/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"11","1Qisaa","1","1","1606613","scroll","1Qisaa","1894871","9","word","ב",,"בְּ",,,,"B",,,,"Pp",,,"ptcl",,,,,,,,,,,,,,"1","1","23001001"
"12","1Qisaa","1","1","1606613","scroll","1Qisaa","1894872","9","word","יומי ",,"יֹום",,,"m","JWM/",,,,"ncmpc","p",,"subs","c",,," ",,,,,,,,,,"1","1","23001001"
"13","1Qisaa","1","1","1606613","scroll","1Qisaa","1894873","10","word","עוזיה ",,"עֻזִּיָּה",,,,"<ZJHW/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"14","1Qisaa","1","2","1606613","scroll","1Qisaa","1894874","11","word","יותם ",,"יֹותָם",,,,"JWTM/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"15","1Qisaa","1","2","1606613","scroll","1Qisaa","1894875","12","word","אחז ",,"אָחָז",,,,">XZ=/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"16","1Qisaa","1","2","1606613","scroll","1Qisaa","1894876","13","word","יחזקיה ",,"יְחִזְקִיָּה",,,,"JXZQJHW/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"17","1Qisaa","1","2","1606613","scroll","1Qisaa","1894877","14","word","מלכי ",,"מֶלֶךְ",,,"m","MLK/",,,,"ncmpc","p",,"subs","c",,," ",,,,,,,,,,"1","1","23001001"
"18","1Qisaa","1","2","1606613","scroll","1Qisaa","1894878","15","word","יהודה ",,"יְהוּדָה",,,,"JHWDH/",,,,"np",,,"subs",,,," ",,,,,,,,,,"1","1","23001001"
"19","1Qisaa","1","2","1606613","scroll","1Qisaa","1894879",,"word","׃ ",,,,,,,,,,,,,,,,," ",,,,,,,,,,"1","1","23001001"
