"vid","Woord","voc","cons","parsing","morf","lex"
"1001027","5","בְּצַלְמוֹ","BYLMW",,"B-YLM/+W","YLM/"
"1001027","4","הָֽאָדָם","H>DM",,"H->DM/",">DM/"
"1001027","3","אֶת",">T",,">T",">T"
"1001027","2","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001027","1","וַיִּבְרָא","WJBR>",,"W:n-!J!BR>[","BR>["
"1001026","19","הָאָֽרֶץ","H>RY",,"H->RY/:a",">RY/"
"1001026","18","עַל","<L",,"<L","<L"
"1001026","17","הָֽרֹמֵשׂ","HRMF",,"H-RMF[/","RMF["
"1001026","16","הָרֶמֶשׂ","HRMF",,"H-RMF/","RMF/"
"1001026","15","וּבְכָל","WBKL",,"W-B-KL/","KL/"
"1001026","14","הָאָרֶץ","H>RY",,"H->RY/:a",">RY/"
"1001026","13","וּבְכָל","WBKL",,"W-B-KL/","KL/"
"1001026","12","וּבַבְּהֵמָה","WBBHMH",,"W-B-(H-BHM(H/H","BHMH/"
"1001026","11","הַשָּׁמַיִם","HCMJM",,"H-CMJ(M/(JM","CMJM/"
"1001026","10","וּבְעֹוף","WB<WP",,"W-B-<WP/","<WP/"
"1001026","9","הַיָּם","HJM",,"H-JM/","JM/"
"1001026","8","בִדְגַת","BDGT",,"B-DG(H/T:c","DGH/"
"1001026","7","וְיִרְדּוּ","WJRDW",,"W-!J!RD(H[W","RDH["
"1001026","6","כִּדְמוּתֵנוּ","KDMWTNW",,"K-DMWT/+NW","DMWT/"
"1001026","5","בְּצַלְמֵנוּ","BYLMNW",,"B-YLM/+NW","YLM/"
"1001026","4","אָדָם",">DM",,">DM/",">DM/"
"1001026","3","נַֽעֲשֶׂה","N<FH",,"!N!<FH[","<FH["
"1001026","2","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001026","1","וַיֹּאמֶר","WJ>MR",,"W:n-!J!>MR[",">MR["
"1001025","18","טֹֽוב","VWB",,"VWB[","VWB["
"1001025","17","כִּי","KJ",,"KJ","KJ"
"1001025","16","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001025","15","וַיַּרְא","WJR>",,"W:n-!J!R>(H[","R>H["
"1001025","14","לְמִינֵהוּ","LMJNHW",,"L-MJN/+HW","MJN/"
"1001025","13","הָֽאֲדָמָה","H>DMH",,"H->DM(H/H",">DMH/"
"1001025","12","רֶמֶשׂ","RMF",,"RMF/","RMF/"
"1001025","11","כָּל","KL",,"KL/","KL/"
"1001025","10","וְאֵת","W>T",,"W->T",">T"
"1001025","9","לְמִינָהּ","LMJNH",,"L-MJN/+H","MJN/"
"1001025","8","הַבְּהֵמָה","HBHMH",,"H-BHM(H/H","BHMH/"
"1001025","7","וְאֶת","W>T",,"W->T",">T"
"1001025","6","לְמִינָהּ","LMJNH",,"L-MJN/+H","MJN/"
"1001025","5","הָאָרֶץ","H>RY",,"H->RY/:a",">RY/"
"1001025","4","חַיַּת","XJT",,"XJ(H/T:c","XJH/"
"1001025","3","אֶת",">T",,">T",">T"
"1001025","2","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001025","1","וַיַּעַשׂ","WJ<F",,"W:n-!J!<F(H[","<FH["
"1001024","14","כֵֽן","KN",,"KN","KN"
"1001024","13","וַֽיְהִי","WJHJ",,"W:n-!J!HJ(H[","HJH["
"1001024","12","לְמִינָהּ","LMJNH",,"L-MJN/+H","MJN/"
"1001024","11","אֶרֶץ",">RY",,">RY/",">RY/"
"1001024","10","וְחַֽיְתֹו","WXJTW",,"W-XJ(H/T~W","XJH/"
"1001024","9","וָרֶמֶשׂ","WRMF",,"W-RMF/","RMF/"
"1001024","8","בְּהֵמָה","BHMH",,"BHM(H/H","BHMH/"
"1001024","7","לְמִינָהּ","LMJNH",,"L-MJN/+H","MJN/"
"1001024","6","חַיָּה","XJH",,"XJ/H","XJ/"
"1001024","5","נֶפֶשׁ","NPC",,"NPC/","NPC/"
"1001024","4","הָאָרֶץ","H>RY",,"H->RY/:a",">RY/"
"1001024","3","תֹּוצֵא","TWY>",,"!T=!](H](J&WY>[","JY>["
"1001024","2","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001024","1","וַיֹּאמֶר","WJ>MR",,"W:n-!J!>MR[",">MR["
"1001023","6","חֲמִישִֽׁי","XMJCJ",,"XMJCJ/","XMJCJ/"
"1001023","5","יֹום","JWM",,"JWM/","JWM/"
"1001023","4","בֹקֶר","BQR",,"BQR=/","BQR=/"
"1001023","3","וַֽיְהִי","WJHJ",,"W:n-!J!HJ(H[","HJH["
"1001023","2","עֶרֶב","<RB",,"<RB/","<RB/"
"1001023","1","וַֽיְהִי","WJHJ",,"W:n-!J!HJ(H[","HJH["
"1001022","13","בָּאָֽרֶץ","B>RY",,"B-(H->RY/:a",">RY/"
"1001022","12","יִרֶב","JRB",,"!J!RB(H[","RBH["
"1001022","11","וְהָעֹוף","WH<WP",,"W-H-<WP/","<WP/"
"1001022","10","בַּיַּמִּים","BJMJM",,"B-(H-JM/JM","JM/"
"1001022","9","הַמַּיִם","HMJM",,"H-MJ(M/(JM","MJM/"
"1001022","8","אֶת",">T",,">T",">T"
"1001022","7","וּמִלְאוּ","WML>W",,"W-!!ML>[W","ML>["
"1001022","6","וּרְבוּ","WRBW",,"W-!!RB(H[W","RBH["
"1001022","5","פְּרוּ","PRW",,"!!PR(H[W","PRH["
"1001022","4","לֵאמֹר","L>MR",,"L-!!>MR[/:c",">MR["
"1001022","3","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001022","2","אֹתָם",">TM",,">T+M",">T"
"1001022","1","וַיְבָרֶךְ","WJBRK",,"W:n-!J!BRK[:d","BRK["
"1001021","23","טֹֽוב","VWB",,"VWB[","VWB["
"1001021","22","כִּי","KJ",,"KJ","KJ"
"1001021","21","אֱלֹהִים",">LHJM",,">LH(J(M/JM",">LHJM/"
"1001021","20","וַיַּרְא","WJR>",,"W:n-!J!R>(H[","R>H["
