"gloss","language","lex","lexCons","root","sp","voc_lex","voc_lex_utf8"
"terrace, ledge","Hebrew","RBD/","RBD","RBD",,,"רֹבֶד"
"overlaid","Hebrew","YP/","YP","YPH",,,"צָף"
"beam-work, rafter","Hebrew","MQRH===/","MQRH","QRH",,,"מִקְרָה"
,"Hebrew","=",,,,,
"waving","Hebrew","HNP/","HNP","NWP",,,"הֶנֶף"
"waving","Hebrew","HNJPH/","HNJPH","NWP",,,"הֲנִיפָה"
"middle","Hebrew",">MY</",">MY<",">MY<",,,"אֶמְצַע"
"have doors","Hebrew","DLT[","DLT","DLT",,,"דלת"
"bowl","Hebrew","KWNNH/","KWNNH","KWNNH",,,"כּוֹנְנָה"
"chain","Hebrew","CLCLT/","CLCLT","CLCLT",,,"שַׁלְשֶׁלֶת"
"rafter/doorway","Hebrew",">DCK/",">DCK",">DCK",,,"אַדְשָׁךְ"
"mixing","Hebrew","T<RBT/","T<RBT","<RB",,,"תַּעֲרֹבֶת"
"defilement, stain","Hebrew","TG>LT/","TG>LT","G>L",,,"תִּגְאֹלֶת"
"liquid,moisture","Hebrew","LXH/","LXH","LX",,,"לֵחָה"
"stade","Hebrew","RS/","RS","RS",,,"רִס"
"charge, complaint","Hebrew","<LH==/","<LH","<LL",,,"עִלָּה"
"shrew","Hebrew","XPRPRH/","XPRPRH","XPR",,,"חֲפַרְפָּרָה"
"Remaliah","Hebrew","RMLJH/","RMLJH","RML",,,"רְמַלְיָה"
"Jeberekiah","Hebrew","JBRKJH/","JBRKJH",,,,"יברכיה"
"unknown","Hebrew",">YJT/",">YJT",,,,"אצית"
"forge, beat ?","Hebrew","MVL/","MVL","MVL",,,"מטל"
"unknown","Hebrew","TRHR/","TRHR",,,,"תרהר"
"present a gift ?","Hebrew","MGD[","MGD","MGD",,,"מגד"
"rebel","Hebrew","SRH[","SRH","SRR",,,"סרה"
"unknown","Hebrew","MZWZ/","MZWZ",,,,"מזוז "
"mighty ?","Hebrew","<JM/","<JM",,,,"עים"
"dung","Hebrew","XR>/","XR>","XR>",,,"חרא"
"urine","Hebrew","CJN/","CJN","CJN",,,"שַׁיִן"
"Shear","Hebrew","C>R==/","C>R","C>R",,,"שְׁאָר"
"Immanu","Hebrew","<MNW/","<MNW","<M",,,"עִמָּנוּ"
"El","Hebrew",">L===/",">L",">L",,,"אֵל"
"Maher","Hebrew","MHR=/","MHR","MHR",,,"מַהֵר"
"Shalal","Hebrew","CLL=/","CLL","CLL",,,"שָׁלָל"
"Chash","Hebrew","XC/","XC","XC",,,"חָשׁ"
"Baz","Hebrew","BZ=/","BZ","BZ",,,"בַּז"
"Eglath","Hebrew","<GLT/","<GLT","<GLT",,,"עֶגְלַת"
"Shelishiyah","Hebrew","CLJCJH/","CLJCJH","CLJCJH",,,"שְׁלִשִׁיָּה"
"Elim","Hebrew",">JLJM/",">JLJM/",">JL",,,"אֵילִים"
"Chareseth","Hebrew","XRFT/","XRFT","XRFT",,,"חֲרֶשֶׂת"
"Rab","Hebrew","RB====/","RB","RB",,,"רַב"
"Shakeh","Hebrew","CQH/","CQH","CQH",,,"שָׁקֵה"
"Esar","Hebrew",">SR==/",">SR",">SR",,,"אֵסַר"
"Chaddon","Hebrew","XDN/","XDN","XDN",,,"חַדֹּן"
"liberation","Hebrew","PQXQWX/","PQX","PQX",,,"פְּקַחְקוֹחַ"
"Lair","Hebrew","L<JR/","L<JR","L<JR",,,"לָעִיר"
