This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
00000X2fs            => sp=suff cl=unknown ps=unknown gn=unknown nu=unknown ps2=2 gn2=f nu2=s
00fs                 => sp=unknown cl=unknown gn=f nu=s
00mp                 => sp=unknown cl=unknown gn=m nu=p
00ms                 => sp=unknown cl=unknown gn=m nu=s
0X1cp                => sp=suff ps2=1 gn2=c nu2=p
0X1cs                => sp=suff ps2=1 gn2=c nu2=s
0X2mp                => sp=suff ps2=2 gn2=m nu2=p
0X2ms                => sp=suff ps2=2 gn2=m nu2=s
0X300                => sp=suff ps2=3 gn2=unknown nu2=unknown
0X30s                => sp=suff ps2=3 gn2=unknown nu2=s
0X3fp                => sp=suff ps2=3 gn2=f nu2=p
0X3fs                => sp=suff ps2=3 gn2=f nu2=s
0X3mp                => sp=suff ps2=3 gn2=m nu2=p
0X3ms                => sp=suff ps2=3 gn2=m nu2=s
0d                   => sp=unknown nu=d
0vnPfpa              => ERROR: vnPfpa sp=unknown
@0                   => ERROR: @0 
Pa                   => sp=ptcl cl=art
PaX3ms               => sp=suff cl=art ps2=3 gn2=m nu2=s
Pc                   => sp=ptcl cl=conj
PcX2fs               => sp=suff cl=conj ps2=2 gn2=f nu2=s
PcX3fs               => sp=suff cl=conj ps2=3 gn2=f nu2=s
PcX3ms               => sp=suff cl=conj ps2=3 gn2=m nu2=s
Pd                   => sp=ptcl cl=advb
PdX0                 => sp=suff cl=advb cl2=unknown
PdX1cp               => sp=suff cl=advb ps2=1 gn2=c nu2=p
PdX1cs               => sp=suff cl=advb ps2=1 gn2=c nu2=s
PdX2fs               => sp=suff cl=advb ps2=2 gn2=f nu2=s
PdX2mp               => sp=suff cl=advb ps2=2 gn2=m nu2=p
PdX2ms               => sp=suff cl=advb ps2=2 gn2=m nu2=s
PdX3fs               => sp=suff cl=advb ps2=3 gn2=f nu2=s
PdX3mp               => sp=suff cl=advb ps2=3 gn2=m nu2=p
PdX3ms               => sp=suff cl=advb ps2=3 gn2=m nu2=s
PdXd                 => sp=suff cl=advb cl2=d
Pg                   => sp=ptcl cl=intr
PgX3mp               => sp=suff cl=intr ps2=3 gn2=m nu2=p
PgX3ms               => sp=suff cl=intr ps2=3 gn2=m nu2=s
Pi                   => sp=ptcl cl=intj
PiX1cp               => sp=suff cl=intj ps2=1 gn2=c nu2=p
PiX1cs               => sp=suff cl=intj ps2=1 gn2=c nu2=s
PiX2fs               => sp=suff cl=intj ps2=2 gn2=f nu2=s
PiX2mp               => sp=suff cl=intj ps2=2 gn2=m nu2=p
PiX2ms               => sp=suff cl=intj ps2=2 gn2=m nu2=s
